Risk,Year,Amount
Drug use,2003,239180.1
Drug use,2004,241596
Drug use,2005,248628.3
Drug use,2006,249447.3
Drug use,2007,250811.2
Drug use,2008,253656.3
Drug use,2009,252019.3
Drug use,2010,253163.6
Drug use,2011,255128.2
Drug use,2012,256207
Drug use,2013,259325.9
Drug use,2014,265365.9
Drug use,2015,274244.5
Drug use,2016,283101.6
Drug use,2017,288015.7
Drug use,2018,293888.8
Drug use,2019,301619.9
Vitamin A deficiency,1990,109936
Vitamin A deficiency,1991,107794
Vitamin A deficiency,1992,105102.4
Vitamin A deficiency,1993,100298.2
Vitamin A deficiency,1994,96586.9
Vitamin A deficiency,1995,93529
Vitamin A deficiency,1996,90066.6
Vitamin A deficiency,1997,86225.2
Vitamin A deficiency,1998,82968.8
Vitamin A deficiency,1999,80617.2
Vitamin A deficiency,2000,76630.7
Vitamin A deficiency,2001,71675
Vitamin A deficiency,2002,66429.4
Vitamin A deficiency,2003,61029.5
Vitamin A deficiency,2004,56017.3
Vitamin A deficiency,2005,50275.7
Vitamin A deficiency,2006,43925
Vitamin A deficiency,2007,39334.1
Vitamin A deficiency,2008,36355.2
Vitamin A deficiency,2009,33489
Vitamin A deficiency,2010,31297.1
Vitamin A deficiency,2011,29546.5
Vitamin A deficiency,2012,26120.3
Vitamin A deficiency,2013,22520.8
Vitamin A deficiency,2014,19850.3
Vitamin A deficiency,2015,17562.3
Vitamin A deficiency,2016,15574.2
Vitamin A deficiency,2017,14390.5
Vitamin A deficiency,2018,13316.5
Vitamin A deficiency,2019,12107.1
Child stunting,1990,450472.1
Child stunting,1991,440929.6
Child stunting,1992,429362.7
Child stunting,1993,415080.6
Child stunting,1994,402890
Child stunting,1995,390853.2
Child stunting,1996,376255.1
Child stunting,1997,362108.4
Child stunting,1998,347845.1
Child stunting,1999,333081.9
Child stunting,2000,317024.9
Child stunting,2001,299411.2
Child stunting,2002,282800.6
Child stunting,2003,266542.7
Child stunting,2004,251162.1
Child stunting,2005,236063.8
Child stunting,2006,218948.1
Child stunting,2007,203858.9
Child stunting,2008,190837.5
Child stunting,2009,178271
Child stunting,2010,167959.9
Child stunting,2011,158962.2
Child stunting,2012,147933.5
Child stunting,2013,137445.4
Child stunting,2014,126874.3
Child stunting,2015,117251
Child stunting,2016,108228.1
Child stunting,2017,101068.5
Child stunting,2018,92108.4
Child stunting,2019,84772.2
Discontinued breastfeeding,1990,18113.8
Discontinued breastfeeding,1991,17617.8
Discontinued breastfeeding,1992,16564
Discontinued breastfeeding,1993,15623.5
Discontinued breastfeeding,1994,14848.4
Discontinued breastfeeding,1995,14072.1
Discontinued breastfeeding,1996,13386.2
Discontinued breastfeeding,1997,12845.4
Discontinued breastfeeding,1998,12439.5
Discontinued breastfeeding,1999,11944.8
Discontinued breastfeeding,2000,11131.6
Discontinued breastfeeding,2001,10284.8
Discontinued breastfeeding,2002,9650.9
Discontinued breastfeeding,2003,9167.2
Discontinued breastfeeding,2004,8687.9
Discontinued breastfeeding,2005,8214.1
Discontinued breastfeeding,2006,7860.4
Discontinued breastfeeding,2007,7640
Discontinued breastfeeding,2008,7572
Discontinued breastfeeding,2009,7438.5
Discontinued breastfeeding,2010,7256.7
Discontinued breastfeeding,2011,7254.5
Discontinued breastfeeding,2012,7260.8
Discontinued breastfeeding,2013,7150.4
Discontinued breastfeeding,2014,6604.1
Discontinued breastfeeding,2015,5887.9
Discontinued breastfeeding,2016,5284.5
Discontinued breastfeeding,2017,4908.6
Discontinued breastfeeding,2018,4374.8
Discontinued breastfeeding,2019,4031.8
Non-exclusive breastfeeding,1990,274912.2
Non-exclusive breastfeeding,1991,269552.5
Non-exclusive breastfeeding,1992,258742.9
Non-exclusive breastfeeding,1993,248903.9
Non-exclusive breastfeeding,1994,239876.8
Non-exclusive breastfeeding,1995,229459.4
Non-exclusive breastfeeding,1996,219395.1
Non-exclusive breastfeeding,1997,209761.7
Non-exclusive breastfeeding,1998,201655.5
Non-exclusive breastfeeding,1999,194169.9
Non-exclusive breastfeeding,2000,186913
Non-exclusive breastfeeding,2001,179558.4
Non-exclusive breastfeeding,2002,172621.6
Non-exclusive breastfeeding,2003,166378.7
Non-exclusive breastfeeding,2004,160400.4
Non-exclusive breastfeeding,2005,154323.5
Non-exclusive breastfeeding,2006,148977.9
Non-exclusive breastfeeding,2007,142688.2
Non-exclusive breastfeeding,2008,136649.1
Non-exclusive breastfeeding,2009,130598.3
Non-exclusive breastfeeding,2010,124588.4
Non-exclusive breastfeeding,2011,118932.9
Non-exclusive breastfeeding,2012,112592.5
Non-exclusive breastfeeding,2013,107026.1
Non-exclusive breastfeeding,2014,100750.3
Non-exclusive breastfeeding,2015,94703.7
Non-exclusive breastfeeding,2016,88448.3
Non-exclusive breastfeeding,2017,83493.1
Non-exclusive breastfeeding,2018,76965.7
Non-exclusive breastfeeding,2019,72507.4
Iron deficiency,1990,40725.6
Iron deficiency,1991,40103.3
Iron deficiency,1992,40121.1
Iron deficiency,1993,39079.4
Iron deficiency,1994,38735.4
Iron deficiency,1995,38118.4
Iron deficiency,1996,37628.6
Iron deficiency,1997,37855.2
Iron deficiency,1998,37680.5
Iron deficiency,1999,37554.7
Iron deficiency,2000,37212.5
Iron deficiency,2001,36429.9
Iron deficiency,2002,35319.5
Iron deficiency,2003,34096.8
Iron deficiency,2004,33358.3
Iron deficiency,2005,33085.5
Iron deficiency,2006,32296.2
Iron deficiency,2007,31158.6
Iron deficiency,2008,30362
Iron deficiency,2009,29659.6
Iron deficiency,2010,29012.8
Iron deficiency,2011,28242.1
Iron deficiency,2012,27068.2
Iron deficiency,2013,26416.4
Iron deficiency,2014,25141
Iron deficiency,2015,24211.8
Iron deficiency,2016,23524.1
Iron deficiency,2017,22882.2
Iron deficiency,2018,22723.6
Iron deficiency,2019,22409.1
