ID,Entity,Code,Year,Death,Calories,Obese,Population__historical_estimates_,Continent,Column1,Column2,Column3,,Asia,,,,,3682,#REF!,,,
Fiji2017,Fiji,FJI,2017,27.11,2773,59,919022,Oceania,,,,,,,,,,,,,,
France2017,France,FRA,2017,7.51,3510,66.9,64144092,Europe,,,,,,,,,,,,,,
United Kingdom2017,United Kingdom,GBR,2017,9.03,3393,67.7,66064808,Europe,,,,,,,,,,,,,,
Greece2017,Greece,GRC,2017,10.61,3373,66.7,10692230,Europe,,,,,,,,,,,,,,
Guatemala2017,Guatemala,GTM,2017,9.24,2547,48.1,16578718,North America,,,,,,,,,,,,,,
Indonesia2017,Indonesia,IDN,2017,7.97,2883,19.7,264498848,Asia,,,,,,,,,,,,,,
India2017,India,IND,2017,5.33,2531,16.4,1354195712,Asia,,,,,,,,,,,,,,
Ireland2017,Ireland,IRL,2017,8.99,3835,67,4771860,Europe,,,,,,,,,,,,,,
Iran2017,Iran,IRN,2017,14.87,3083,56.5,84505080,Asia,,,,,,,,,,,,,,
Iraq2017,Iraq,IRQ,2017,19.03,2601,53.7,39621156,Asia,,,,,,,,,,,,,,
Israel2017,Israel,ISR,2017,10.44,3565,68.4,8309256,Asia,,,,,,,,,,,,,,
Italy2017,Italy,ITA,2017,9.66,3477,65.7,60004024,Europe,,,,,,,,,,,,,,
Jamaica2017,Jamaica,JAM,2017,17.43,2757,48.3,2808388,North America,,,,,,,,,,,,,,
Jordan2017,Jordan,JOR,2017,23.65,2739,62.5,10215384,Asia,,,,,,,,,,,,,,
Japan2017,Japan,JPN,2017,3.87,2712,28.8,126662464,Asia,,,,,,,,,,,,,,
Kazakhstan2017,Kazakhstan,KAZ,2017,15.47,3094,59.9,18314822,Asia,,,,,,,,,,,,,,
Kenya2017,Kenya,KEN,2017,5.82,2145,17.1,48948140,Africa,,,,,,,,,,,,,,
South Korea2017,South Korea,KOR,2017,5.66,3388,37.9,51511640,Asia,,,,,,,,,,,,,,
Lebanon2017,Lebanon,LBN,2017,17.7,2892,64.3,6109255,Asia,,,,,,,,,,,,,,
Liberia2017,Liberia,LBR,2017,6.78,2157,17.4,4796632,Africa,,,,,,,,,,,,,,
Sri Lanka2017,Sri Lanka,LKA,2017,10.3,2682,17.3,21506816,Asia,,,,,,,,,,,,,,
Morocco2017,Morocco,MAR,2017,16.51,3366,49.7,35528116,Africa,,,,,,,,,,,,,,
Mexico2017,Mexico,MEX,2017,16.33,3162,63.6,122839256,North America,,,,,,,,,,,,,,
Mongolia2017,Mongolia,MNG,2017,12.8,2480,50,3096033,Asia,,,,,,,,,,,,,,
Malaysia2017,Malaysia,MYS,2017,9.3,2874,37.5,31975812,Asia,,,,,,,,,,,,,,
Namibia2017,Namibia,NAM,2017,9.09,2465,26.7,2364540,Africa,,,,,,,,,,,,,,
Niger2017,Niger,NER,2017,3.6,2596,11.2,21737924,Africa,,,,,,,,,,,,,,
Nigeria2017,Nigeria,NGA,2017,4.81,2539,23.6,193495904,Africa,,,,,,,,,,,,,,
Netherlands2017,Netherlands,NLD,2017,7.24,3270,62.6,17207204,Europe,,,,,,,,,,,,,,
Norway2017,Norway,NOR,2017,6.5,3377,65.4,5277396,Europe,,,,,,,,,,,,,,
Nepal2017,Nepal,NPL,2017,4.13,2793,15.5,28183424,Asia,,,,,,,,,,,,,,
New Zealand2017,New Zealand,NZL,2017,10.16,3162,68.8,4746253,Oceania,,,,,,,,,,,,,,
Pakistan2017,Pakistan,PAK,2017,7.61,2489,21,216379648,Asia,,,,,,,,,,,,,,
Peru2017,Peru,PER,2017,9.24,2769,52.7,31605488,South America,,,,,,,,,,,,,,
Philippines2017,Philippines,PHL,2017,9.22,2643,21.8,106738496,Asia,,,,,,,,,,,,,,
North Korea2017,North Korea,PRK,2017,3.22,2030,18.9,25516318,Asia,,,,,,,,,,,,,,
Paraguay2017,Paraguay,PRY,2017,13.9,2752,51.5,6355406,South America,,,,,,,,,,,,,,
