Column1,Food,Serving,calories
,Sesame Oil,1 tbsp (14 ml),124
,Shea Oil,1 tbsp (14 ml),124
,Sunflower Oil,1 tbsp (14 ml),124
,Tomato Seed Oil,1 tbsp (14 ml),124
,Walnut Oil,1 tbsp (14 ml),124
,Almond Oil,1 tbsp (14 ml),123
,Cottonseed Oil,1 tbsp (14 ml),123
,Palm Kernel Oil,1 tbsp (14 ml),123
,Palm Oil,1 tbsp (14 ml),123
,Pumpkin Seed Oil,1 tbsp (14 ml),123
,Soy Oil,1 tbsp (14 ml),123
,Soy Noodles,2 oz. (56 g),121
,Avocado Oil,1 tbsp (14 ml),120
,Coconut Oil,1 tbsp (14 ml),120
,Corn Oil,1 tbsp (15 ml),120
,Olive Oil,1 tbsp (15 ml),120
,Peanut Oil,1 tbsp (14 ml),120
,Safflower Oil,1 tbsp (14 ml),120
,Vegetable Oil,1 tbsp (15 ml),120
,Meatball Soup,1 cup (245 g),120
,Dragon Fruit,1 dragonfruit (200 g),120
,Durum Wheat Semolina,1 tbsp (30 g),119
,Linseed Oil,1 tbsp (14 ml),117
,Cream of Chicken Soup,1 cup (244 g),117
,Tomato Rice Soup,1 cup (247 g),116
,Chicken Breast,1 piece (71 g),116
,Aubergine,1 aubergine (458 g),115
,Eggplant,1 eggplant (458 g),115
,Kumara,1 kumara (130 g),112
,Sweet Potato,1 potato (130 g),112
,Kiwi,1 liwi (183 g),112
,Kiwi,1 kiwi (183 g),112
,Banana,1 banana (125 g),111
,Banana,1 banana (125 g),111
,Corn Waffles,1 waffle (40 g),110
,Gourd,1 gourd (771 g),108
,Kohlrabi,1 kohlrabi (400 g),108
,Glass Noodles,2 oz. (56 g),108
,Samosa,1 samosa (50 g),107
,Cream of Onion Soup,1 cup (244 g),107
,Grapes,1 cup (151 g),104
,Gluten,1 oz. (28 g),104
,Mostaccioli,2 oz. (56 g),103
,Pear,1 pear (178 g),101
,Black Pudding,1 pudding (40 g),101
,Sausage Rolls,1 roll (34 g),101
,Sloppy Joe,1/2 cup (142 g),101
,Sago,1 oz. (28 g),99
,Breadfruit,1/4 breadfruit (96 g),99
,Cream of Mushroom Soup,1 cup (248 g),97
,Apple,1 apple (182 g),95
,Shortbread,1 cookie (19 g),95
,Carrot Ginger Soup,1 serving (381 g),95
,Carrot Soup,1 serving (381 g),95
,McDonald’s Mighty Wings,1 wing (31 g),95
,Chicken Wings,1 piece (29 g),94
,Cream of Celery Soup,1 cup (248 g),92
,Cappelletti,2 oz. (56 g),92
,Lettuce,1 head (600 g),90
